1402407707035,"FRITZ!Box Fon WLAN 7360",-84
1402407707035,"Zy_private_CEXC",-92
1402407707036,"Duvel",-83
1402407707037,"Ziggo",-82
1402407707038,"Mr-Brown",-90
1402407707038,"Vlinder",-85
1402407707039,"CORRYHENK",-90
1402407707039,"ARJANHUIJZER-PC_Network-2.4G",-84
1402407707040,"starthere",-90
1402407707040,"VGV75196A7979",-87
1402407707041,"Ziggo60CCB",-90
1402407707054,"Zy_private_E4XHWM",-93
1402407707055,"utrecht3515-2",-81
1402407707055,"FRITZ!Box Fon WLAN 7360",-86
1402407707056,"SitecomA1834C",-86
1402407707057,"Online",-90
1402407707057,"H220N8068C4",-89
1402407707058,"Ziggo",-90
1402407707058,"",-90
1402407707059,"chmwidor",-86
1402407708121,"Wi-Fi-netwerk van R. Kaasenbrood",-58
1402407708123,"utrecht3515",-65
1402407708124,"SpeedTouch367917",-71
1402407708124,"Wi-Fi-netwerk van R. Kaasenbrood",-61
1402407708125,"FRITZ!Box Fon WLAN 7360",-85
1402407708126,"Zy_private_CEXC",-92
1402407708126,"Duvel",-83
1402407708127,"Ziggo",-82
1402407708127,"Mr-Brown",-89
1402407708145,"Vlinder",-84
1402407708145,"ARJANHUIJZER-PC_Network-2.4G",-84
1402407708146,"VGV75196A7979",-87
1402407708147,"Ziggo60CCB",-87
1402407708147,"Zy_private_E4XHWM",-90
1402407708148,"utrecht3515-2",-82
1402407708149,"FRITZ!Box Fon WLAN 7360",-86
1402407708150,"H220N8068C4",-89
1402407708150,"Ziggo",-90
1402407708151,"",-89
1402407708165,"chmwidor",-86
1402407708166,"Tele2modem-internet",-89
1402407708166,"LG-IK",-90
1402407709271,"Wi-Fi-netwerk van R. Kaasenbrood",-62
1402407709273,"utrecht3515",-66
1402407709273,"SpeedTouch367917",-67
1402407709274,"Wi-Fi-netwerk van R. Kaasenbrood",-61
1402407709293,"FRITZ!Box Fon WLAN 7360",-85
1402407709293,"Zy_private_CEXC",-90
1402407709294,"Duvel",-81
1402407709294,"Ziggo",-81
1402407709295,"Mr-Brown",-90
1402407709296,"Vlinder",-82
1402407709297,"ARJANHUIJZER-PC_Network-2.4G",-84
1402407709297,"VGV75196A7979",-87
1402407709310,"Ziggo60CCB",-87
1402407709311,"Zy_private_E4XHWM",-90
1402407709312,"utrecht3515-2",-82
1402407709312,"FRITZ!Box Fon WLAN 7360",-86
1402407709313,"Ziggo",-90
1402407709314,"",-89
1402407709314,"chmwidor",-86
1402407709315,"Tele2modem-internet",-89
1402407709328,"LG-IK",-90
1402407709329,"FRITZ!Box Fon WLAN 7340",-90
1402407710402,"Wi-Fi-netwerk van R. Kaasenbrood",-62
1402407710404,"utrecht3515",-66
1402407710404,"SpeedTouch367917",-63
1402407710405,"Wi-Fi-netwerk van R. Kaasenbrood",-61
1402407710423,"FRITZ!Box Fon WLAN 7360",-85
1402407710424,"Zy_private_CEXC",-90
1402407710424,"Duvel",-84
1402407710425,"Ziggo",-81
1402407710426,"Mr-Brown",-90
1402407710427,"Vlinder",-80
1402407710427,"ARJANHUIJZER-PC_Network-2.4G",-89
1402407710428,"VGV75196A7979",-87
1402407710442,"Ziggo60CCB",-87
1402407710442,"Zy_private_E4XHWM",-90
1402407710443,"utrecht3515-2",-82
1402407710443,"FRITZ!Box Fon WLAN 7360",-86
1402407710444,"Ziggo",-90
1402407710445,"",-89
1402407710445,"chmwidor",-85
1402407710459,"Tele2modem-internet",-89
1402407710459,"LG-IK",-90
1402407710460,"FRITZ!Box Fon WLAN 7340",-90
1402407710461,"Scheteris",-87
1402407710461,"FRITZ!Box Fon WLAN 7340",-88
1402407711578,"Wi-Fi-netwerk van R. Kaasenbrood",-60
1402407711580,"utrecht3515",-66
1402407711581,"SpeedTouch367917",-67
1402407711582,"Wi-Fi-netwerk van R. Kaasenbrood",-61
1402407711582,"FRITZ!Box Fon WLAN 7360",-85
1402407711583,"Zy_private_CEXC",-90
1402407711596,"Duvel",-85
1402407711597,"Ziggo",-84
1402407711597,"Mr-Brown",-87
1402407711598,"Vlinder",-80
1402407711598,"ARJANHUIJZER-PC_Network-2.4G",-81
1402407711599,"VGV75196A7979",-87
1402407711600,"Ziggo60CCB",-87
1402407711613,"Zy_private_E4XHWM",-90
1402407711614,"utrecht3515-2",-81
1402407711615,"FRITZ!Box Fon WLAN 7360",-86
1402407711615,"Ziggo",-90
1402407711616,"",-89
1402407711629,"chmwidor",-85
1402407711630,"Tele2modem-internet",-85
1402407711631,"LG-IK",-90
1402407711632,"FRITZ!Box Fon WLAN 7340",-90
1402407711632,"Scheteris",-87
1402407711633,"FRITZ!Box Fon WLAN 7340",-88
1402407712720,"Wi-Fi-netwerk van R. Kaasenbrood",-60
1402407712722,"utrecht3515",-66
1402407712722,"SpeedTouch367917",-66
1402407712723,"Wi-Fi-netwerk van R. Kaasenbrood",-65
1402407712724,"FRITZ!Box Fon WLAN 7360",-85
1402407712741,"Zy_private_CEXC",-88
1402407712741,"Duvel",-85
1402407712742,"Ziggo",-84
1402407712742,"Mr-Brown",-89
1402407712744,"Vlinder",-80
1402407712757,"ARJANHUIJZER-PC_Network-2.4G",-81
1402407712758,"Ziggo60CCB",-87
1402407712758,"Zy_private_E4XHWM",-90
1402407712759,"utrecht3515-2",-82
1402407712759,"FRITZ!Box Fon WLAN 7360",-86
1402407712773,"Ziggo",-90
1402407712774,"",-89
1402407712775,"chmwidor",-85
1402407712775,"Tele2modem-internet",-89
1402407712776,"LG-IK",-90
1402407712789,"FRITZ!Box Fon WLAN 7340",-90
1402407712790,"Scheteris",-87
1402407712790,"FRITZ!Box Fon WLAN 7340",-88
1402407712791,"Online",-90
1402407713862,"Wi-Fi-netwerk van R. Kaasenbrood",-59
1402407713864,"utrecht3515",-66
1402407713865,"SpeedTouch367917",-66
1402407713865,"Wi-Fi-netwerk van R. Kaasenbrood",-61
1402407713882,"FRITZ!Box Fon WLAN 7360",-85
1402407713882,"Zy_private_CEXC",-89
1402407713883,"Duvel",-85
1402407713883,"Ziggo",-84
1402407713897,"Mr-Brown",-89
1402407713898,"Vlinder",-82
1402407713898,"ARJANHUIJZER-PC_Network-2.4G",-81
1402407713899,"Ziggo60CCB",-87
1402407713900,"Zy_private_E4XHWM",-90
1402407713913,"utrecht3515-2",-82
1402407713914,"FRITZ!Box Fon WLAN 7360",-86
1402407713915,"Ziggo",-89
1402407713916,"",-89
1402407713916,"chmwidor",-85
1402407713930,"Tele2modem-internet",-89
1402407713931,"LG-IK",-90
1402407713932,"FRITZ!Box Fon WLAN 7340",-90
1402407713932,"Scheteris",-89
1402407713946,"FRITZ!Box Fon WLAN 7340",-88
1402407713946,"Online",-90
1402407715008,"Wi-Fi-netwerk van R. Kaasenbrood",-59
1402407715016,"utrecht3515",-66
