1402407434411,"Ziggo",-84
1402407434427,"",-90
1402407434428,"HG655D-8561AB",-92
1402407434429,"Gijsbrecht16",-91
1402407434610,"Wi-Fi-netwerk van R. Kaasenbrood",-57
1402407434612,"utrecht3515",-65
1402407434613,"SpeedTouch367917",-63
1402407434614,"Wi-Fi-netwerk van R. Kaasenbrood",-62
1402407434614,"Vlinder",-80
1402407434615,"FRITZ!Box Fon WLAN 7360",-86
1402407434616,"Zy_private_CEXC",-89
1402407434617,"Duvel",-83
1402407434633,"ARJANHUIJZER-PC_Network-2.4G",-88
1402407434636,"Mr-Brown",-89
1402407434637,"CORRYHENK",-92
1402407434638,"Zy_private_E4XHWM",-92
1402407434638,"Ziggo",-84
1402407434639,"",-90
1402407434640,"HG655D-8561AB",-92
1402407434640,"Gijsbrecht16",-91
1402407434641,"Tele2modem-internet",-84
1402407434641,"Ziggo",-88
1402407434850,"Wi-Fi-netwerk van R. Kaasenbrood",-57
1402407434852,"utrecht3515",-65
1402407434853,"SpeedTouch367917",-63
1402407434854,"Wi-Fi-netwerk van R. Kaasenbrood",-62
1402407434855,"Vlinder",-80
1402407434855,"FRITZ!Box Fon WLAN 7360",-86
1402407434856,"Zy_private_CEXC",-89
1402407434857,"Duvel",-83
1402407434858,"ARJANHUIJZER-PC_Network-2.4G",-88
1402407434859,"Mr-Brown",-89
1402407434875,"CORRYHENK",-92
1402407434878,"Zy_private_E4XHWM",-92
1402407434880,"Ziggo",-84
1402407434881,"",-90
1402407434881,"HG655D-8561AB",-92
1402407434882,"Gijsbrecht16",-91
1402407434883,"Tele2modem-internet",-84
1402407434885,"Ziggo",-88
1402407435108,"Wi-Fi-netwerk van R. Kaasenbrood",-57
1402407435122,"utrecht3515",-65
1402407435122,"SpeedTouch367917",-63
1402407435123,"Wi-Fi-netwerk van R. Kaasenbrood",-62
1402407435124,"Vlinder",-80
1402407435124,"FRITZ!Box Fon WLAN 7360",-86
1402407435125,"Zy_private_CEXC",-89
1402407435125,"Duvel",-83
1402407435126,"ARJANHUIJZER-PC_Network-2.4G",-88
1402407435127,"Mr-Brown",-89
1402407435140,"CORRYHENK",-92
1402407435140,"Zy_private_E4XHWM",-92
1402407435141,"Ziggo",-84
1402407435142,"",-90
1402407435142,"HG655D-8561AB",-92
1402407435143,"Gijsbrecht16",-91
1402407435143,"Tele2modem-internet",-84
1402407435144,"Ziggo",-88
1402407435371,"Wi-Fi-netwerk van R. Kaasenbrood",-55
1402407435373,"utrecht3515",-64
1402407435373,"SpeedTouch367917",-65
1402407435374,"Wi-Fi-netwerk van R. Kaasenbrood",-62
1402407435375,"Vlinder",-80
1402407435375,"FRITZ!Box Fon WLAN 7360",-86
1402407435376,"Zy_private_CEXC",-90
1402407435377,"Duvel",-83
1402407435390,"ARJANHUIJZER-PC_Network-2.4G",-81
1402407435392,"Mr-Brown",-91
1402407435394,"CORRYHENK",-92
1402407435396,"Zy_private_E4XHWM",-92
1402407435397,"Ziggo",-84
1402407435398,"",-88
